spec,D1SF,D1C,D2SF,D2C,D3SF,D3C,D4SF,D4C,D5SF,D5C,E2SF,E2C,E3C,E4C,E5SF,E1SF,E1C,E3SF,E4SF,E5C,X1C,X4SF,X4C,X1SF,X2SF,X2C,X3SF,X3C,X5SF,X5C
Andpol,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,
Arcalp,x,,x,,,,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,x,,,,,,,
Astalp,,,,,,,,,x,x,,,,x,,x,x,,x,,,,x,,,,,,,
Baralp,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,
Betn,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Betnxpub,x,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,
Bisviv,x,x,x,x,x,x,x,x,x,x,,,,x,,,x,,x,,,,,,,,,,,
Callap,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,
Carsp.,x,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,
Carbig,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,x,x,x,,,,,,,,,,,
Carcap,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Cardio,x,x,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,
Carvag,x,x,x,,x,,x,x,x,x,,,,,,x,x,,,,,,,,,,,,,
Castet,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Dessp.,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
Dialap,,,,,,,,,,,,x,x,,,,,,x,,x,x,,,,,,,x,
Dryoct,,,x,x,,,,,,,,,,,,,,,x,,,,x,,x,x,,,x,x
Empnig,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Equarv,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Equpra,x,x,,,,,,,,x,,x,x,,x,,,,x,,,,,,,,,,,
Equsci,x,,x,x,x,x,x,x,,x,,,x,x,x,,,,x,,,,,,,,,,,
Erivag,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Eupfri,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,
Fesovi,,,,,,,,,x,,,,,x,,x,x,,x,x,,,,x,,,,,,
Hupsel,x,x,,x,,x,,,x,x,,,,,,,,,,,,,,,,,,,,
Juntri,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,x,,x,
Linbor,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
Loipro,,,,,,,,,,,,,,,x,,,,,,x,x,x,x,x,x,x,,x,x
Pedlap,,,,,,,,,,,,,,x,x,x,,,x,,,,,,,,,,,
Phycae,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,
Pinvil,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,
Pinvul,,,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,x,,,,
Pyrsp.,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Rholap,,,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,x,x
Rubcha,,,,,,x,x,x,,,,x,,,x,,,,,,,,,,,,,,,
Salarb,,,x,x,,,,,x,,,,,,,x,,,,,,,,,,,,,,
Salgla,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,
Sallap,x,x,,x,x,,x,x,x,,x,x,x,,x,,,,x,,,,,,,,,,,
Salret,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Saualp,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,
Silaca,x,,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,
Thaalp,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,
Tofpus,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,x,
Trices,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,
Vacmic,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,
Vaculi,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Vacvit,,x,,,,,,,x,,x,x,x,,x,x,x,x,,x,,,,x,,,,,,
Vasplaunk,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,
