sp,spec,species,family,genus,group
And,Andpol,Andromeda polifolia,Andromeda,polifolia,S
Arc,Arcalp,Arctostaphylos alpinus,Arctostaphylos,alpinus,S
Ast,Astalp,Astragalus alpinus,Astragalus,alpinus,F
Bar,Baralp,Bartia alpina,Bartia,alpina,F
Bet,Betnan,Betula nana,Betula,nana,S
Bet,Betnanxpub,Betula nana x pubescens,Betula,nana x pubescens,S
Bis,Bisviv,Bistorta vivipara,Bistorta,vivipara,F
Cal,Callap,Calamagrostis lapponicum,Calamagrostis,lapponicum,G
Car,Carsp.,Carex sp.,Carex,(big/long),G
Car,Carbig,Carex bigelowii,Carex,bigelowii,G
Car,Carcap,Carex capillaris,Carex,capillaris,G
Car,Cardio,Carex dioica,Carex,dioica,G
Car,Carvag,Carex vaginatum,Carex,vaginatum,G
Cas,Castet,Cassiope tetragona,Cassiope,tetragona,S
Des,Dessp.,Deschampsia sp.,Deschampsia,sp.,G
Dia,Dialap,Diapensia lapponica,Diapensia,lapponica,S
Dry,Dryoct,Dryas octopetala,Dryas,octopetala,S
Emp,Empnig,Empetrum nigrum,Empetrum,nigrum,S
Equ,Equarv,Equisetum arvense,Equisetum,arvense,F
Equ,Equpra,Equisetum pratense,Equisetum,pratense,F
Equ,Equsci,Equisetum scirpoides,Equisetum,scirpoides,F
Eri,Erivag,Eriophorum vaginatum,Eriophorum,vaginatum,G
Eup,Eupfri,Euphrasia frigida,Euphrasia,frigida,F
Fes,Fesovi,Festuca ovina,Festuca,ovina,G
Hup,Hupsel,Huperzea selago,Huperzea,selago,S
Jun,Juntri,Juncus trifidus,Juncus,trifidus,G
Lin,Linbor,Linnaea borealis,Linnaea,borealis,F
Loi,Loipro,Loiseleuria procumbens,Loiseleuria,procumbens,S
Ped,Pedlap,Pedicularis lapponicum,Pedicularis,lapponicum,F
Phy,Phycae,Phylodoce caerulea,Phylodoce,caerulea,S
Pin,Pinvil,Pinguicula villosa,Pinguicula,villosa,F
Pin,Pinvul,Pinguicula vulgaris,Pinguicula,vulgaris,F
Pyr,Pyrsp.,Pyrola sp.,Pyrola,sp.,F
Rho,Rholap,Rhododendron lapponicum,Rhododendron,lapponicum,S
Rub,Rubcha,Rubus chamaemorus,Rubus,chamaemorus,F
Sal,Salarb,Salix arbuscula,Salix,arbuscula,S
Sal,Salgla,Salix glauca,Salix,glauca,S
Sal,Sallap,Salix lapponum,Salix,lapponum,S
Sal,Salret,Salix reticulata,Salix,reticulata,S
Sau,Saualp,Saussurea alpina,Saussurea,alpina,F
Sil,Silaca,Silene acaulis,Silene,acaulis,F
Tha,Thaalp,Thalictrum alpinum,Thalictrum,alpinum,F
Tof,Tofpus,Tofielda pusilla,Tofielda,pusilla,F
Tri,Trices,Trichophorum cespitosum,Trichophorum,cespitosum,G
Vac,Vacmic,Vaccinium microcarpum,Vaccinium,microcarpum,S
Vac,Vaculi,Vaccinium uliginosum,Vaccinium,uliginosum,S
Vac,Vacvit,Vaccinium vitis-idaea,Vaccinium,vitis-idaea,S
Vas,Vasplaunk,Vascular plant unknown,Vascular,plant unknown,F
